,,,,"朱立凡
宗教聯盟","宋柏澄
台澎黨","洪慈庸
無黨籍","張睿倉
台灣民眾黨","張烱春
喜樂島聯盟","楊瓊瓔
中國國民黨",合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 社口里,515,0,0,488,72,2,371,1,1,39,2,33,68,6,1,256,17,1,16,1,359,125,2,0,0,5,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 社南里,516,0,3,524,75,1,404,1,3,28,8,27,79,3,2,272,4,1,21,3,395,150,0,0,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 社南里,517,1,0,522,54,1,309,0,1,24,4,29,69,1,1,210,5,1,17,3,385,127,2,0,1,6,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 社南里,518,1,4,561,69,6,466,1,1,44,2,43,87,5,5,295,11,0,22,2,434,145,0,0,0,7,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 社南里,519,0,0,480,77,1,415,0,1,41,6,34,68,8,1,247,4,1,27,3,368,142,0,0,2,7,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 三角里,520,2,1,459,60,2,357,0,4,38,3,33,53,1,3,227,17,4,10,4,378,107,0,2,2,4,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 三角里,521,2,3,513,66,2,461,0,2,48,4,25,63,3,4,290,12,0,25,2,436,123,0,0,7,5,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 大社里,522,2,4,442,51,0,374,1,3,45,0,22,58,5,2,247,6,1,14,1,344,119,0,0,2,3,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 大社里,523,2,1,443,53,2,314,0,1,40,3,22,53,0,2,222,8,0,19,1,325,118,0,0,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 大社里,524,1,1,292,65,0,306,0,2,33,2,23,50,0,2,246,3,1,10,0,207,103,1,0,2,7,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 大社里,525,0,1,380,52,2,380,0,0,33,1,18,66,2,2,300,8,1,18,1,253,112,0,0,0,1,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 岸裡里,526,1,1,609,63,5,438,1,3,37,6,27,76,4,2,306,12,1,18,4,494,122,0,1,3,4,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 岸裡里,527,0,2,557,56,3,434,2,2,36,1,34,71,9,0,295,6,2,18,1,427,132,0,0,0,7,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 豐洲里,528,0,5,407,62,0,402,0,2,34,5,27,63,4,3,269,17,0,22,2,285,129,1,4,1,6,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 豐洲里,529,1,0,432,44,4,397,1,3,44,3,27,60,1,0,262,6,1,8,0,357,93,1,4,0,7,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 豐洲里,530,2,6,423,54,2,325,1,2,30,0,21,51,0,4,222,10,2,19,3,315,111,0,4,2,5,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 豐洲里,531,3,2,543,63,3,411,1,1,33,4,30,61,3,2,300,14,2,24,2,376,167,1,1,0,3,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 豐洲里,532,0,1,437,47,0,306,2,2,31,1,20,52,2,1,214,7,0,16,1,335,101,2,1,0,5,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 豐洲里,533,0,3,445,62,2,396,1,2,40,3,19,49,4,0,280,9,2,27,0,339,116,2,0,2,4,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 神洲里,534,1,0,483,57,1,357,1,1,43,5,22,63,1,0,210,10,1,12,4,373,137,1,0,1,6,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 神洲里,535,1,6,526,59,0,421,1,2,37,5,24,58,6,2,258,11,3,21,1,438,130,0,0,3,5,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 溪洲里,536,3,2,512,53,0,531,2,3,35,3,35,83,5,2,341,11,1,19,3,387,137,2,2,3,4,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 溪洲里,537,1,2,545,60,2,413,1,1,32,4,24,76,1,1,269,15,0,10,1,433,140,1,0,3,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上雅里,538,1,1,375,255,0,464,2,1,37,2,30,77,11,0,383,12,0,16,2,300,219,3,0,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上雅里,539,4,1,452,230,0,431,2,4,38,8,35,75,4,0,318,10,3,31,4,359,230,1,0,1,7,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上雅里,540,5,2,368,183,6,398,1,0,35,4,30,67,5,2,275,7,0,14,3,322,195,1,0,4,5,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上雅里,541,4,0,440,188,2,482,1,1,48,2,34,93,7,3,357,6,0,30,3,303,233,0,0,3,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 大雅里,542,1,2,428,114,5,553,4,3,31,3,33,88,3,7,401,8,2,34,5,319,161,0,0,4,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 大雅里,543,4,0,465,100,2,543,2,1,41,4,25,77,7,3,383,15,2,23,3,360,145,0,1,14,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 大雅里,544,1,0,473,129,0,505,0,1,44,4,38,93,6,2,335,2,1,24,0,358,190,1,1,2,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 文雅里,545,3,1,383,87,1,556,0,2,32,10,36,74,9,2,425,4,1,30,1,300,136,0,1,3,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 文雅里,546,0,0,402,120,1,548,0,2,39,6,32,91,7,1,403,3,0,32,1,309,155,0,0,3,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 文雅里,547,4,2,513,117,4,504,1,2,33,4,39,120,7,1,351,3,3,29,3,366,174,1,1,1,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 文雅里,548,1,1,444,78,1,520,0,2,26,4,39,68,4,2,377,13,1,18,4,333,145,1,2,9,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 三和里,549,1,2,431,90,5,432,0,0,40,4,29,82,4,2,296,15,1,17,2,320,129,1,0,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 三和里,550,1,1,520,88,2,493,0,3,35,1,29,93,7,3,338,8,1,23,3,386,156,1,0,6,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 三和里,551,1,0,387,71,2,426,1,0,32,3,26,73,5,1,274,5,1,27,1,297,131,1,0,0,7,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 三和里,552,1,0,401,95,2,432,0,3,29,1,28,83,2,1,288,4,3,23,5,284,168,0,0,4,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 二和里,553,1,2,486,103,0,491,1,1,40,4,40,96,4,1,321,8,1,16,3,352,189,0,0,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 二和里,554,0,0,444,96,2,539,0,3,37,8,38,87,9,3,350,7,2,16,1,352,162,0,1,7,0,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 二和里,555,0,2,463,79,3,584,3,1,43,1,44,79,8,4,407,11,1,25,1,335,164,0,0,0,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 二和里,556,0,4,399,112,1,550,0,0,58,2,32,107,14,1,366,9,3,24,4,266,179,1,2,1,0,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 四德里,557,0,1,465,109,4,529,1,0,50,10,26,118,3,1,392,4,3,18,3,344,156,0,0,1,0,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 四德里,558,2,1,442,130,1,532,0,2,47,4,29,81,3,1,355,12,1,28,1,331,178,1,1,3,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 四德里,559,3,0,484,124,1,533,1,1,55,8,44,7,8,1,371,7,2,24,3,335,178,1,0,4,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 西寶里,560,3,2,460,115,1,561,2,0,36,4,22,80,2,2,383,10,2,16,0,387,191,0,2,3,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 西寶里,561,3,2,531,89,0,512,1,1,45,7,21,92,2,4,318,14,0,27,6,397,191,1,0,4,4,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 西寶里,562,1,0,496,83,3,528,0,0,25,3,27,79,5,4,354,14,2,16,1,420,156,1,2,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上楓里,563,1,4,513,94,1,504,2,0,49,6,27,82,11,3,337,13,2,11,1,381,182,1,0,4,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上楓里,564,2,1,464,103,3,511,0,1,49,3,37,72,6,5,356,5,2,19,8,362,166,2,1,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上楓里,565,3,1,480,131,0,516,2,2,46,5,37,97,6,0,323,13,2,26,5,372,183,1,0,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 上楓里,566,0,1,493,118,5,484,1,1,45,4,33,112,4,2,334,10,2,15,3,353,162,1,1,2,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 大楓里,567,1,1,482,112,1,560,0,2,42,7,34,91,9,1,388,7,4,20,3,381,179,0,2,0,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 大楓里,568,2,3,548,113,3,518,1,4,52,6,40,91,2,1,353,11,6,20,6,433,161,2,2,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 大楓里,569,3,0,488,96,2,574,0,0,34,3,27,72,5,1,404,6,1,28,2,394,166,1,1,3,1,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 雅楓里,570,2,1,335,82,3,398,0,3,28,4,14,60,0,3,276,5,0,12,0,274,119,2,1,2,4,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 雅楓里,571,1,0,337,83,1,371,0,0,36,5,29,58,7,4,270,2,1,16,0,249,122,0,1,5,3,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 雅楓里,572,1,0,332,103,0,481,1,2,43,4,22,57,5,5,384,7,2,21,2,255,126,1,0,3,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 員林里,573,0,2,463,126,2,472,0,2,34,0,42,73,6,1,308,13,2,24,3,366,170,0,1,7,6,,,,,,,,,,,,,,,,,,,
臺中市, 大雅區, 員林里,574,1,3,472,140,3,550,0,1,46,1,38,97,4,1,366,5,0,24,1,377,190,1,1,0,5,,,,,,,,,,,,,,,,,,,
