,,,,"朱立凡
宗教聯盟","宋柏澄
台澎黨","洪慈庸
無黨籍","張睿倉
台灣民眾黨","張烱春
喜樂島聯盟","楊瓊瓔
中國國民黨",合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,597,1,0,317,42,2,349,0,1,19,1,30,35,4,5,248,7,0,18,3,255,101,0,0,0,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,598,2,0,500,74,1,429,3,1,37,4,22,78,1,4,333,3,0,20,0,371,119,1,0,3,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,599,2,2,455,82,1,489,1,0,59,8,16,89,13,4,361,10,1,31,1,286,155,0,1,2,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,600,1,0,411,72,0,410,0,0,35,6,24,90,5,2,313,6,4,23,3,266,124,0,1,2,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,601,3,0,404,49,0,398,0,2,36,1,25,53,3,1,305,2,0,24,6,306,96,0,1,0,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 潭陽里,602,4,1,338,63,1,351,1,1,25,7,16,58,8,4,224,4,2,15,5,261,125,0,0,3,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,603,1,1,439,77,1,471,1,1,41,3,21,51,10,0,342,4,3,20,5,365,124,1,0,1,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,604,3,1,473,70,4,462,0,3,35,6,32,106,5,0,342,6,1,21,0,332,118,0,0,1,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,605,3,1,425,72,0,417,0,1,51,5,21,74,9,3,306,5,1,19,1,302,138,0,1,2,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,606,2,0,311,61,0,422,0,0,27,4,15,48,5,1,322,1,0,21,0,231,116,0,1,3,0,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,607,1,2,455,68,3,561,0,2,57,3,30,77,7,3,419,6,1,17,4,306,157,1,2,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,608,1,3,535,81,0,491,1,1,51,3,40,84,20,3,349,11,2,20,0,361,158,0,1,0,8,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,609,0,0,406,73,0,483,2,3,28,5,22,61,5,1,386,3,0,14,1,270,145,2,2,5,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 福仁里,610,3,1,319,47,1,279,0,0,22,3,19,50,7,2,195,3,1,10,2,229,102,0,1,3,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家里,611,1,1,463,84,1,512,1,1,49,4,45,80,4,1,365,4,1,34,3,318,156,0,1,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家里,612,0,1,450,74,3,455,0,0,46,3,28,66,5,3,335,12,3,23,4,322,140,0,0,2,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家里,613,2,1,407,63,5,465,1,3,37,0,30,77,6,0,340,8,2,17,4,284,129,1,0,2,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家里,614,1,2,452,62,3,405,0,3,40,3,29,84,4,1,291,4,3,14,2,320,139,0,0,1,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家東里,615,3,1,381,58,3,453,2,0,40,6,19,71,13,3,330,8,3,27,3,267,119,0,0,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家東里,616,3,1,362,78,0,494,1,2,37,1,32,72,9,3,369,9,0,19,4,249,130,0,1,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家東里,617,2,2,250,31,0,222,0,1,17,4,15,35,0,1,186,2,1,8,3,188,48,0,1,0,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 頭家東里,618,2,0,345,55,1,386,2,3,27,5,25,70,5,2,277,3,0,26,3,224,118,1,1,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家興里,619,3,0,418,73,4,381,1,2,38,12,25,70,7,5,291,7,2,23,3,274,129,0,0,0,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家興里,620,1,0,330,66,2,394,2,0,29,0,21,61,8,0,281,1,2,24,0,228,129,0,0,5,0,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家興里,621,0,2,355,75,2,376,0,1,40,7,30,48,9,0,312,3,0,13,3,227,130,1,0,1,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家興里,622,0,1,335,66,2,427,0,2,44,3,18,72,20,3,307,3,0,24,4,224,123,0,0,1,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家興里,623,0,0,356,60,0,327,1,2,26,2,23,70,3,2,242,2,1,18,0,258,84,0,0,4,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家興里,624,2,0,407,85,2,362,0,0,41,6,40,76,5,3,250,4,0,31,4,218,186,1,0,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家福里,625,1,3,508,97,5,412,0,0,42,10,40,85,8,4,299,4,0,22,0,332,186,0,0,1,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家福里,626,0,0,384,84,1,441,2,1,49,5,18,58,7,0,317,13,0,23,1,277,145,0,1,0,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家福里,627,0,1,306,36,4,322,0,1,22,4,24,50,5,4,232,7,0,11,0,219,80,1,1,2,0,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 家福里,628,2,3,378,57,4,392,1,0,28,0,30,57,9,4,283,8,2,16,0,285,109,0,1,1,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,629,5,2,399,73,1,510,0,2,39,5,22,77,5,2,375,6,2,30,3,299,133,0,0,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,630,0,0,471,59,0,453,0,0,42,7,21,92,5,3,321,5,0,28,5,311,142,0,0,4,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,631,0,0,448,85,2,456,1,1,43,6,40,81,4,1,322,9,1,25,2,301,155,1,0,2,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,632,1,0,523,91,1,498,3,0,39,7,32,89,5,2,337,4,2,23,2,387,169,0,1,6,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,633,1,0,421,88,0,465,0,3,39,8,37,75,8,1,339,6,1,17,1,303,125,2,0,3,7,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,634,0,2,381,84,2,438,0,1,53,8,27,70,9,1,321,3,1,20,3,263,130,1,0,1,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 甘蔗里,635,0,1,393,90,0,477,0,1,45,12,29,106,8,2,336,6,0,22,4,242,154,0,1,3,0,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,636,1,1,528,68,0,418,0,2,49,4,22,72,5,5,316,12,4,29,6,351,137,0,1,1,10,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,637,2,0,505,83,0,487,1,3,43,6,28,72,6,2,324,5,3,31,4,385,145,1,0,1,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,638,1,1,501,58,4,356,1,2,42,9,25,72,5,5,227,4,0,17,2,345,157,0,0,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,639,1,4,535,64,1,461,1,7,44,2,37,67,5,6,316,10,2,12,2,399,142,0,1,4,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,640,2,2,471,63,3,441,1,1,35,6,44,84,10,2,322,10,2,14,4,299,138,2,1,2,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,641,1,0,400,70,1,447,2,2,41,4,30,73,11,4,342,7,1,23,2,270,116,0,0,2,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,642,5,0,482,82,4,484,0,1,30,4,29,67,5,2,347,8,1,16,6,376,159,0,0,2,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,643,2,1,519,57,1,414,1,2,37,5,28,77,3,2,300,14,1,15,2,369,140,0,0,1,1,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 東寶里,644,3,2,443,69,2,428,1,5,36,4,24,61,4,1,325,21,1,14,5,300,131,0,1,4,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 大富里,645,3,2,536,82,0,453,0,1,42,5,33,82,7,4,277,12,1,22,5,411,155,0,1,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 大富里,646,1,0,462,58,2,511,1,1,30,2,36,66,3,1,345,6,0,25,2,359,142,0,1,8,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 大豐里,647,1,0,480,90,0,495,1,2,50,3,30,69,5,0,348,9,2,22,4,386,152,0,3,2,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 大豐里,648,5,1,531,82,0,488,2,2,48,3,36,77,5,4,346,5,3,20,5,365,162,3,1,1,7,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 大豐里,649,5,1,575,93,0,494,1,1,44,4,42,90,7,8,356,17,1,17,6,402,159,1,2,0,2,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 大豐里,650,2,1,580,87,2,464,1,2,44,5,43,92,5,4,298,6,0,21,1,425,175,0,0,2,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 栗林里,651,4,2,445,61,0,451,4,2,30,3,17,56,3,1,327,8,2,14,2,362,118,0,0,4,6,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 栗林里,652,1,1,417,39,5,337,0,3,38,3,24,45,3,0,247,4,1,18,6,314,91,1,0,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 栗林里,653,1,0,486,67,1,389,1,0,44,2,33,79,7,2,265,11,0,24,1,319,154,1,1,2,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 栗林里,654,1,1,442,40,2,258,0,1,19,1,23,64,3,3,190,13,0,13,1,325,73,0,2,0,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 嘉仁里,655,3,1,554,64,1,442,2,2,28,2,32,61,3,0,299,12,1,19,2,458,134,1,0,1,10,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 嘉仁里,656,2,1,372,47,0,392,1,4,46,1,22,45,3,1,246,5,1,19,4,307,94,0,2,1,4,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 嘉仁里,657,3,1,453,64,2,578,3,0,50,6,30,56,3,1,430,11,2,15,4,345,144,2,0,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 新田里,658,3,1,553,55,3,506,3,2,42,8,26,72,4,2,325,10,1,18,5,452,135,0,4,3,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 聚興里,659,1,1,475,62,0,466,0,4,31,4,20,71,7,2,290,15,0,14,2,398,130,0,2,1,5,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 聚興里,660,1,1,414,59,1,559,0,1,45,5,35,61,5,1,402,14,3,17,2,331,102,0,2,8,8,,,,,,,,,,,,,,,,,,,
臺中市, 潭子區, 聚興里,661,1,1,341,39,0,420,2,2,39,2,24,51,10,2,274,4,1,23,4,258,98,2,1,8,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
